fund_id,fund_name,manager_name,fund_type,strategy,vintage_year,inception_date,fund_size_millions,currency,target_size_millions,status,geography,sector_focus,administrator,last_updated
PE001,Beta Fund I,Silver Lake Partners,Private Equity,Buyout,2024,2024-08-17,4637.24,USD,,Fundraising,Europe,Healthcare,Northern Trust,2025-10-12
PE002,Omega Fund II,KKR & Co,Private Equity,Mezzanine,2016,2016-10-08,3105.14,USD,,Harvesting,Asia Pacific,Industrials,State Street,2025-10-09
PE003,Delta Fund II,Benchmark Capital,Private Equity,Mezzanine,2017,2017-11-21,1849.99,USD,1876.83,Liquidated,Latin America,Healthcare,SS&C Technologies,2025-10-09
PE004,Beta Fund VI,Renaissance Technologies,Private Equity,Growth Equity,2020,2020-02-08,2162.87,USD,2467.2,Fundraising,Middle East,Consumer,,2025-04-12
PE005,Beta Fund V,Renaissance Technologies,Private Equity,Distressed,2016,2016-02-24,2989.51,USD,3418.57,Investing,Middle East,Consumer,Northern Trust,2025-11-05
PE006,Summit Fund I,Sequoia Capital,Private Equity,Buyout,2021,2021-05-02,515.96,EUR,542.99,Liquidated,Latin America,Real Estate,Northern Trust,2024-11-21
PE007,Alpha Fund I,Sequoia Capital,Private Equity,Growth Equity,2023,2023-01-27,2161.47,USD,2179.55,Harvesting,North America,Energy,SS&C Technologies,2025-10-29
PE008,Delta Fund II,Warburg Pincus,Private Equity,Distressed,2023,2023-07-20,-250.0,GBP,,Investing,Europe,Real Estate,SS&C Technologies,2025-09-30
PE009,Alpha Fund V,Blackstone Group,Private Equity,Mezzanine,2018,2018-05-06,4043.19,USD,4737.48,Investing,Europe,Multi-Sector,Citco,2025-10-13
PE010,Delta Fund VI,Tiger Global Management,Private Equity,Growth Equity,2015,2015-11-07,2293.1,USD,,Harvesting,Asia Pacific,Real Estate,State Street,2025-09-30
PE011,Summit Fund II,Warburg Pincus,Private Equity,Buyout,2016,2016-05-06,3112.65,CHF,,Liquidated,Asia Pacific,Energy,Citco,2025-10-28
PE012,Peak Fund V,Tiger Global Management,Private Equity,Mezzanine,2024,2024-04-09,699.74,USD,812.61,Investing,Asia Pacific,Real Estate,SS&C Technologies,2025-09-30
PE013,Omega Fund I,TPG Capital,Private Equity,Distressed,2016,2016-12-10,2782.05,USD,3169.98,Investing,Europe,Real Estate,,2025-10-20
PE014,Gamma Fund VI,Blackstone Group,Private Equity,Distressed,2021,2021-09-27,501.83,USD,560.04,Harvesting,Global,Multi-Sector,Citco,2025-09-12
PE015,Summit Fund III,Vista Equity Partners,Private Equity,Growth Equity,2016,2016-05-17,3487.34,USD,,Investing,Middle East,Consumer,SS&C Technologies,2025-11-08
PE016,Omega Fund II,Vista Equity Partners,Private Equity,Buyout,2027,2018-08-20,4323.82,USD,4868.42,Investing,Middle East,Real Estate,Northern Trust,2025-08-20
PE017,Delta Fund III,Andreessen Horowitz,Private Equity,Buyout,2016,2016-07-08,1291.49,JPY,1304.46,Investing,North America,Multi-Sector,SS&C Technologies,2025-09-05
PE018,Beta Fund I,TPG Capital,Private Equity,Distressed,2022,2022-10-27,3736.73,USD,4146.18,Investing,Middle East,Multi-Sector,Northern Trust,2025-08-22
PE019,Summit Fund I,Carlyle Group,Private Equity,Distressed,1985,1985-01-15,1576.61,USD,1650.55,Harvesting,Asia Pacific,Healthcare,SS&C Technologies,2025-08-15
PE020,Prime Fund III,TPG Capital,Private Equity,Growth Equity,2018,2018-02-14,2334.2,USD,2430.76,Liquidated,Global,Technology,BNY Mellon,2025-09-24
PE021,Omega Fund I,TPG Capital,Private Equity,Mezzanine,2015,2015-06-10,3890.64,GBP,4216.69,Investing,Global,Industrials,Citco,2025-09-23
PE022,Peak Fund V,Warburg Pincus,Private Equity,Distressed,2021,2021-12-06,4282.28,GBP,4739.73,Liquidated,Latin America,Technology,SS&C Technologies,2025-09-13
PE023,Beta Fund IV,Bridgewater Associates,Private Equity,Growth Equity,2015,2015-05-13,1973.09,USD,2320.21,Harvesting,Global,Consumer,BNY Mellon,2025-09-03
PE024,Beta Fund V,Benchmark Capital,Private Equity,Buyout,2020,2020-04-21,-1500.0,JPY,,Fundraising,Europe,Industrials,BNY Mellon,2025-10-12
PE025,Omega Fund VI,Acme Capital Partners,Private Equity,Growth Equity,2022,2022-11-04,3037.86,USD,3503.81,Investing,Latin America,Healthcare,BNY Mellon,2025-10-03
PE026,Prime Fund V,Andreessen Horowitz,Private Equity,Buyout,2024,2024-01-10,3091.09,GBP,3673.12,Investing,North America,Industrials,SS&C Technologies,2025-08-16
PE027,Delta Fund VI,Andreessen Horowitz,Private Equity,Buyout,2024,2024-01-12,2897.35,USD,,Harvesting,North America,Real Estate,BNY Mellon,2025-02-13
PE028,Beta Fund I,Andreessen Horowitz,Private Equity,Mezzanine,2017,2017-07-06,3802.08,JPY,,Liquidated,Global,Real Estate,BNY Mellon,2025-10-01
PE029,Delta Fund III,Vista Equity Partners,Private Equity,Growth Equity,2016,2016-05-15,1597.39,USD,1718.47,Fundraising,Global,Energy,,2025-10-09
PE030,Beta Fund II,Acme Capital Partners,Private Equity,Distressed,2019,2019-10-23,4460.48,USD,4630.92,Investing,Middle East,Real Estate,Northern Trust,2025-08-15
PE031,Beta Fund IV,TPG Capital,Private Equity,Mezzanine,2022,2022-08-26,5000.0,USD,3000.0,Harvesting,Global,Energy,Citco,2025-09-30
PE032,Omega Fund IV,Benchmark Capital,Private Equity,Distressed,2022,2022-05-10,1631.32,USD,,Fundraising,Middle East,Financial Services,SS&C Technologies,2025-10-07
PE033,Prime Fund II,Carlyle Group,Private Equity,Distressed,2016,2016-04-10,1523.67,USD,,Investing,Asia Pacific,Technology,,2025-08-14
PE034,Prime Fund III,Tiger Global Management,Private Equity,Growth Equity,2022,2022-02-28,555.19,USD,593.02,Fundraising,Asia Pacific,Multi-Sector,SS&C Technologies,2025-01-11
PE035,Delta Fund VI,Bridgewater Associates,Private Equity,Buyout,2024,2024-11-22,741.24,USD,786.28,Investing,North America,Real Estate,State Street,2025-10-14
PE036,Omega Fund VI,Vista Equity Partners,Private Equity,Mezzanine,2022,2022-08-10,4370.75,CHF,4913.62,Fundraising,Europe,Industrials,,2025-03-16
PE037,Beta Fund V,Blackstone Group,Private Equity,Growth Equity,2023,2023-02-06,512.04,USD,541.87,Investing,Asia Pacific,Consumer,State Street,2025-08-16
PE038,Gamma Fund V,Blackstone Group,Private Equity,Growth Equity,2019,2019-11-19,3475.32,GBP,3853.83,Investing,Asia Pacific,Financial Services,SS&C Technologies,2025-10-03
PE039,Delta Fund II,Blackstone Group,Private Equity,Distressed,2022,2022-02-15,3599.05,USD,3959.29,Liquidated,Global,Healthcare,Northern Trust,2025-10-01
PE040,Peak Fund IV,Silver Lake Partners,Private Equity,Distressed,2015,2015-02-08,4828.6,EUR,5746.79,Harvesting,Latin America,Technology,BNY Mellon,2025-09-06
