fund_id,issue_type,severity,field_name,expected_value,actual_value,issue_description,detected_timestamp,status,resolution_notes,resolved_timestamp
PE001,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE002,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE008,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE010,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE011,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE015,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE024,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE027,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE028,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE032,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE033,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE044,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE045,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
PE049,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
HF007,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
HF014,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
HF018,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
HF021,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
HF022,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
HF025,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
HF026,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
VC004,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
VC005,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
VC008,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
VC012,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
VC015,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
VC016,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
VC017,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
VC018,Completeness,Medium,target_size_usd_millions,Not Null,,Missing required field: target_size_usd_millions,2025-11-13T22:55:20.386246,Open,,
