fund_id,fund_name,manager_name,fund_type,strategy,vintage_year,inception_date,fund_size_millions,currency,target_size_millions,status,geography,sector_focus,administrator,last_updated
PE001,Beta Fund I,Apollo Global Management,Private Equity,Buyout,2018,2018-07-11,1753.71,USD,1876.87,Liquidated,Middle East,Energy,,2025-01-05
PE002,Omega Fund II,KKR & Co,Private Equity,Growth Equity,2024,2024-05-02,987.81,USD,1049.78,Fundraising,Global,Industrials,Citco,2025-11-13
PE003,Delta Fund II,Renaissance Technologies,Private Equity,Growth Equity,2020,2020-07-03,4769.94,GBP,5402.8,Fundraising,Middle East,Consumer,Northern Trust,2025-10-03
PE004,Beta Fund VI,Carlyle Group,Private Equity,Mezzanine,2019,2019-09-05,1363.28,USD,1567.26,Investing,Latin America,Consumer,Citco,2023-11-26
PE005,Beta Fund V,Renaissance Technologies,Private Equity,Distressed,2018,2018-07-26,3109.93,USD,3384.95,Investing,Latin America,Multi-Sector,BNY Mellon,2024-10-10
PE006,Summit Fund I,Vista Equity Partners,Private Equity,Buyout,2019,2019-09-22,3348.23,USD,3851.23,Harvesting,Europe,Industrials,SS&C Technologies,2024-09-17
PE007,Alpha Fund I,Renaissance Technologies,Private Equity,Buyout,2022,2022-07-21,3090.52,EUR,3337.55,Investing,Middle East,Technology,BNY Mellon,2025-10-31
PE008,Delta Fund II,Blackstone Group,Private Equity,Mezzanine,2018,2018-03-26,-250.0,USD,,Investing,North America,Multi-Sector,,2025-09-07
PE009,Alpha Fund V,Carlyle Group,Private Equity,Distressed,2022,2022-10-27,3736.73,USD,4146.18,Investing,Middle East,Multi-Sector,Northern Trust,2025-08-24
PE010,Delta Fund VI,Apollo Global Management,Private Equity,Distressed,2023,2023-08-21,1576.61,USD,1650.55,Harvesting,Asia Pacific,Healthcare,SS&C Technologies,2025-08-17
PE011,Summit Fund II,KKR & Co,Private Equity,Growth Equity,2018,2018-02-14,2334.2,USD,2430.76,Liquidated,Global,Technology,BNY Mellon,2025-09-26
PE012,Peak Fund V,Warburg Pincus,Private Equity,Mezzanine,2015,2015-06-10,3890.64,GBP,4216.69,Investing,Global,Industrials,Citco,2025-09-25
PE013,Omega Fund I,Bridgewater Associates,Private Equity,Distressed,2021,2021-12-06,4282.28,GBP,4739.73,Liquidated,Latin America,Technology,,2024-04-19
PE014,Gamma Fund VI,Silver Lake Partners,Private Equity,Growth Equity,2015,2015-05-13,1973.09,USD,2320.21,Harvesting,Global,Consumer,BNY Mellon,2025-09-05
PE015,Summit Fund III,Benchmark Capital,Private Equity,Buyout,2020,2020-04-21,808.78,JPY,,Fundraising,Europe,Industrials,BNY Mellon,2025-10-14
PE016,Omega Fund II,Apollo Global Management,Private Equity,Growth Equity,2027,2022-11-04,3037.86,USD,3503.81,Investing,Latin America,Healthcare,BNY Mellon,2023-12-06
PE017,Delta Elite 1,Sequoia Capital,Private Equity,Buyout,2024,2024-01-10,3091.09,USD,3310.18,Investing,North America,Industrials,Northern Trust - Elite Service,2025-10-21
PE018,Beta Fund I,Tiger Global Management,Private Equity,Buyout,2024,2024-01-12,2897.35,USD,,Harvesting,North America,Real Estate,BNY Mellon,2024-11-14
PE019,Summit Elite 2,Andreessen Horowitz,Private Equity,Mezzanine,1985,1985-01-15,3802.08,USD,4130.21,Liquidated,Global,Real Estate,Northern Trust - Elite Service,2025-10-31
